"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0198",1589.29130638214,2.12532320610972,0.273132476591224,7.78129072248895,7.17883093492489e-15,1.61070296187289e-12
"b0199",1980.00727316456,1.74240181946377,0.24018140100122,7.25452433952166,4.03075792467614e-13,6.87324841315775e-11
"b0200",852.176292717061,0.461836981353713,0.273471290618356,1.68879512108725,0.0912586991469007,0.137226043902377
"b0201",968.959823139771,4.62778808162199,1.33270254535402,3.47248386202538,NA,NA
"b0202",0,NA,NA,NA,NA,NA
"b0203",0,NA,NA,NA,NA,NA
"b0204",310.703475911294,4.23986982243895,1.75759370592893,2.41231509201273,NA,NA
"b0205",0.374274827441968,0.794564087682354,2.87498673585337,0.276371392526271,0.782262826813011,0.830168392009925
"b0206",8.96488748602317,-0.229396699592605,0.730032368332888,-0.314228121304345,0.753347785870326,0.806103583627485
"b0207",302.645554923099,-0.389984478572256,0.224197439925966,-1.73946891945347,0.0819523146237156,0.125624853376807
"b0208",289.223941362229,-0.509194689911835,0.223346933306161,-2.27983739187427,0.0226173344179749,0.0443299754592307
"b0209",777.81992093357,0.284466907293188,0.273950349552785,1.03838855382945,0.299089196273645,0.374234588704006
"b0210",186.117119449864,-0.147519713973208,0.22918947781863,-0.643658318773028,0.519797024002508,0.600350775757977
"b0211",2296.96124555197,1.14738377371132,0.238621432804507,4.80838523273527,1.52154340334066e-06,2.92177456236091e-05
"b0212",235.845737073986,-0.323928649892774,0.262181610499347,-1.2355124727315,0.21663983738363,0.284866016892786
"b4815",0,NA,NA,NA,NA,NA
"b0213",318.098007227694,0.0403481163104159,0.216466251384259,0.186394488990305,0.852135413851558,0.886012992499803
"b0214",277.649316411129,0.632788556684505,0.208546084322373,3.0342864443637,0.00241105386786517,0.00900113889128553
"b0215",505.923216850988,0.348287338029446,0.247708595475362,1.40603654613224,0.159713272870105,0.219277836471903
"b0216",52.9586791779001,-0.658643666809148,0.427034513484264,-1.54236635684347,0.122984592202503,0.176111292092465
"b0217",0,NA,NA,NA,NA,NA
"b4586",0,NA,NA,NA,NA,NA
"b0218",0,NA,NA,NA,NA,NA
"b4503",0,NA,NA,NA,NA,NA
"b0219",527.008090126604,0.0708126686256483,0.215991919639667,0.327848693339006,0.743026068231945,0.797864012310524
"b0220",1519.01082930474,-0.97275052491409,0.320469560364869,-3.03539132954334,0.00240223774464831,0.00899099166412269
"b0221",818.853079255021,-0.725291999972017,0.252910779809784,-2.86777811731676,0.00413365316798005,0.0128065141388801
"b0222",1024.94327707181,0.638304056683198,0.296914255902327,2.14979255456556,0.0315716273929855,0.0576401916814977
"b0223",425.01281454232,0.423891550527759,0.224712403391789,1.88637362303806,0.0592446244387755,0.0954136131403476
"b0224",967.619343465273,0.873248794960508,0.255010597207338,3.42436276971857,0.000616242989775805,0.00343360441111761
"b0225",114.05784921608,-0.304989737276273,0.261608290296681,-1.165825964194,0.24368481731559,0.314035180234692
"b0226",95.2673867373262,0.0682235950349594,0.352346271881165,0.193626555691127,0.846468303251456,0.881410448647034
"b0227",38.4045704213971,-0.723085006661056,0.428790685031555,-1.68633562225785,0.0917311735402796,0.137742160198032
"b0228",104.144536199844,-0.711873720229917,0.319636695062481,-2.2271339030419,0.0259383259611239,0.0491444815876761
"b0229",267.560945095737,-0.78113599780659,0.276172631960295,-2.8284337671768,0.0046776379110359,0.014052692328926
"b0230",117.253043020198,-0.789376155034077,0.339012865162688,-2.3284548645529,0.019887963265045,0.0401384951196855
"b0231",508.922451578472,-0.0779113491226603,0.211599869660339,-0.368201309611976,0.712723133898298,0.772328093494775
"b0232",124.460662789309,0.141724051073354,0.243820775078812,0.581263229220493,0.561063058903624,0.638294135498144
"b0233",11.4231443555543,-1.00130528666368,0.612661959782269,-1.63435197938441,0.1021849651642,0.150992896532057
"b0234",0,NA,NA,NA,NA,NA
"b0235",1.87906154397391,-0.7975314232446,1.43358279432548,-0.556320448600143,0.577991810594229,0.653748763216556
"b0236",115.03052415766,-0.330916265072867,0.287917119969409,-1.14934556551561,0.250413516301379,0.321249720130238
"b0237",2476.76394490433,0.959311001211227,0.30737570225056,3.12097213340968,0.00180255090674831,0.00742441982170827
"b0238",728.190564741798,1.12482668323395,0.220669692906716,5.0973319825548,3.4447391964767e-07,8.11702322615935e-06
"b0239",595.550442158249,-0.0272547953468992,0.232763467393286,-0.117092238108176,0.906786960517475,0.928123124294356
"b0240",3867.26555050354,0.409830261798688,0.377957058161966,1.0843302246867,0.27821840874488,0.351942159192707
"b4710",0,NA,NA,NA,NA,NA
"b4709",0,NA,NA,NA,NA,NA
"b0241",288.684996989056,-1.04975373614019,0.331700646448832,-3.16476240664222,0.0015520963602835,0.00669695018612201
"b0242",1933.86052628049,1.1503878593377,0.239853970721517,4.79620102130128,1.61703010593071e-06,3.03673979805401e-05
"b0243",2088.19888775562,1.11708777135987,0.262702757205375,4.25228795937819,2.11597533332842e-05,0.000242483947472555
"b0244",46.9923025286872,-1.2356739273985,0.367399089107313,-3.36330155417879,0.000770161855014441,0.00403837636891336
"b4626",0,NA,NA,NA,NA,NA
"b0245",0,NA,NA,NA,NA,NA
"b0246",0,NA,NA,NA,NA,NA
"b4504",0,NA,NA,NA,NA,NA
"b0247",0,NA,NA,NA,NA,NA
"b0248",0,NA,NA,NA,NA,NA
"b0249",0,NA,NA,NA,NA,NA
"b0250",0,NA,NA,NA,NA,NA
"b0251",0,NA,NA,NA,NA,NA
"b4627",0,NA,NA,NA,NA,NA
"b4628",0,NA,NA,NA,NA,NA
"b0252",0,NA,NA,NA,NA,NA
"b0253",0,NA,NA,NA,NA,NA
"b0254",0,NA,NA,NA,NA,NA
"b4587",54.4307953283346,-1.09974540193771,0.338641642784303,-3.24751968746559,0.00116415609874416,0.00542382234857526
"b0256",0,NA,NA,NA,NA,NA
"b4690",0,NA,NA,NA,NA,NA
